ExpeditionID,StationID,Date,Latitude,Longitude,seaice_prev_month,days_since_melt,seaice_last_730,chl_prev_month
ACE_2017,211,2017-01-03,-49.7331,64.8713,0,32765,0,0.191190958023071
ACE_2017,213,2017-01-03,-49.7278,64.896,0,32765,0,0.191190958023071
ACE_2017,234,2017-01-04,-50.0021,70.6722,0,32765,0,0.780692458152771
ACE_2017,270,2017-01-07,-51.1347,71.8448,0,32765,0,0.561115741729736
ACE_2017,272,2017-01-07,-51.1471,71.758,0,32765,0,0.587632358074188
ACE_2017,274,2017-01-07,-51.1434,71.8443,0,32765,0,0.561115741729736
ACE_2017,316,2017-01-08,-52.3515,74.7873,0,32765,0,0.592224895954132
ACE_2017,1210,2017-02-03,-66.1606,162.1788,0,54,610,0.381688445806503
ACE_2017,1212,2017-02-03,-66.1481,162.2009,0,54,610,0.381688445806503
ACE_2017,1530,2017-02-11,-73.162,-126.9777,2,59,530,6.12076187133789
ACE_2017,1532,2017-02-12,-73.2015,-127.2673,2,60,529,3.6943359375
ACE_2017,2037,2017-02-20,-56.2591,-69.6584,0,32765,0,0.242900148034096
ACE_2017,2373,2017-03-07,-57.1532,-26.764,0,144,248,0.42936497926712
ACE_2017,2375,2017-03-07,-57.1641,-26.7936,0,144,248,0.42936497926712
ACE_2017,2377,2017-03-07,-57.1491,-26.7425,0,144,248,0.350757509469986
ACE_2017,2379,2017-03-07,-59.4692,-27.3283,0,109,414,0.302090108394623
ACE_2017,2589,2017-03-08,-59.4687,-27.2867,0,110,414,0.302090108394623
ACE_2017,2591,2017-03-08,-59.4677,-27.2879,0,110,414,0.302090108394623
ACE_2017,2766,2017-03-11,-54.4239,3.5425,0,140,53,0.381068170070648
ACE_2017,2768,2017-03-11,-54.4249,3.5241,0,140,53,0.381068170070648
ACE_2017,2770,2017-03-11,-54.4246,3.5292,0,140,53,0.381068170070648
ANDEEP-III,S21,2005-01-29,-47.717,4.293667,0,32765,0,
ANDEEP-III,S57,2005-02-10,-69.38333,-5.250833,6,36,655,0.244198009371758
ANDEEP-III,S59,2005-02-15,-67.54417,-0.160833,0,60,420,0.130854323506355
ANDEEP-III,S74,2005-02-20,-71.31483,-14.01033,0,77,623,2.3323028087616
ANDEEP-III,S78,2005-02-21,-71.17183,-14.09433,0,78,624,1.82011842727661
ANDEEP-III,S81,2005-02-24,-70.465,-14.59617,0,75,564,0.214359953999519
ANDEEP-III,S88,2005-02-26,-68.059,-20.63883,2.8,56,536,0.128457501530647
ANDEEP-III,S94,2005-03-01,-66.60133,-27.30033,0,52,593,0.919144213199615
ANDEEP-III,S102,2005-03-06,-65.5215,-36.60667,0,59,636,0.280365318059921
ANDEEP-III,S121,2005-03-14,-63.62383,-50.75183,12,-312,685,0.202180147171021
ANDEEP-III,S142,2005-03-18,-62.20817,-49.4195,0,129,487,0.486820608377457
ANDEEP-III,S151,2005-03-21,-61.77017,-47.10667,0,158,366,0.722184062004089
ANDEEP-III,S153,2005-03-29,-63.35267,-64.60717,0,131,152,0.255465000867844
ANDEEP-III,S154,2005-03-30,-62.54733,-64.5365,0,137,99,0.11190339922905
ANDEEP-SYSTCO,33-14,2007-12-30,-61.9532,-2.8478,89.2,-2,398,
ANDEEP-SYSTCO,48-01,2008-01-12,-70.4,-8.3286,68.4,-14,640,
ARGOS,Set14 Mag5,2009-03-07,-59.784,-27.968,0,76,389,
ARGOS,Set16 Mag 4,2009-03-07,-59.751,-28.218,0,76,386,0.238948374986649
ARGOS,Set19 Mag2,2009-03-09,-59.533,-27.169,0,77,386,
ARGOS,Set19 Mag6,2009-03-09,-59.533,-27.169,0,77,386,
ARGOS,Set22 Mag7,2009-03-10,-59.45,-26.851,0,78,386,
ARGOS,Set29 Mag3,2009-03-12,-59.101,-26.236,0,78,375,
ARGOS,Set34 Mag7,2009-03-14,-59.018,-26.05,0,92,366,
ARGOS,Set47 Mag1+2,2009-03-14,-57.935,-26.768,0,126,277,
ARGOS,Set37 Mag3,2009-03-15,-58.686,-25.168,0,90,334,1.17886030673981
ARGOS,Set38 Mag2,2009-03-15,-58.751,-25.235,0,90,334,1.11804211139679
ARGOS,Set49 Mag3,2009-03-20,-57.686,-26.569,0,130,275,0.176961436867714
ARGOS,Set44 Mag5,2009-03-18,-58.601,-25.033,0,88,326,1.03611779212952
CEAMARC,St27Ev33,2007-12-22,-65.985583,142.632543,52.8,-5,575,0.107369810342789
CEAMARC,St27Ev45,2007-12-23,-66.013518,142.713093,45.2,3,553,0.112327702343464
CEAMARC,St27Ev46,2007-12-23,-66.033177,142.775223,45.2,3,553,0.122280344367027
CEAMARC,St28Ev53,2007-12-23,-65.996375,143.049193,39.2,13,565,0.0933187678456306
CEAMARC,St34Ev288,2008-01-03,-66.35369,144.377852,0.4,36,570,0.507912755012512
CEAMARC,St35Ev294,2008-01-04,-66.35474,144.046778,0.4,37,570,0.574711561203003
CEAMARC,St32Aev400,2008-01-12,-65.879022,144.182082,9.2,32,584,0.391506463289261
CEAMARC,St54Ev393,2008-01-12,-65.915508,144.076507,9.2,32,584,0.328954458236694
CEAMARC,St86Eev518,2008-01-16,-65.480868,139.402942,31.6,12,563,
CEAMARC,St79Ev544,2008-01-18,-65.693818,140.538905,35.2,17,578,0.280435085296631
EPOS3,211-GSN1,1989-01-15,-60.9966666667,-55.2016666667,2.8,113,216,
EPOS3,212-GSN2,1989-01-15,-60.8333333333,-55.6483333333,0,118,174,
EPOS3,217-GSN3,1989-01-18,-60.6266666667,-46.9683333333,14,0,393,
EPOS3,224-GSN4,1989-01-25,-71.2683333333,-13.125,64.4,15,573,
EPOS3,226-GSN5,1989-01-28,-75.265,-25.9716666667,0,62,506,
EPOS3,229-AGT3,1989-01-29,-75.2483333333,-26.2083333333,0,63,506,
EPOS3,229-AGT4,1989-01-29,-75.2616666667,-26.2783333333,0,63,506,
EPOS3,229-GSN6,1989-01-29,-75.2466666667,-26.2233333333,0,63,506,
EPOS3,230-AGT5,1989-01-30,-75.2366666667,-26.99,0,64,522,
EPOS3,230-AGT6,1989-01-30,-75.2416666667,-26.6483333333,0,64,506,
EPOS3,235-AGT7,1989-01-31,-75.1483333333,-27.5533333333,0,65,522,
EPOS3,235-GSN7,1989-01-31,-75.1516666667,-27.5783333333,0,65,522,
